"Notes"	"Residence County"	"Residence County Code"	Deaths	Population	Crude Rate
	"Autauga County, AL"	"01001"	273	56145	486.2
	"Baldwin County, AL"	"01003"	1065	229287	464.5
	"Barbour County, AL"	"01005"	126	24589	512.4
	"Bibb County, AL"	"01007"	104	22136	469.8
	"Blount County, AL"	"01009"	335	57879	578.8
	"Bullock County, AL"	"01011"	49	9976	491.2
	"Butler County, AL"	"01013"	135	19504	692.2
	"Calhoun County, AL"	"01015"	676	113469	595.8
	"Chambers County, AL"	"01017"	174	32865	529.4
	"Cherokee County, AL"	"01019"	165	26294	627.5
	"Chilton County, AL"	"01021"	246	44397	554.1
	"Choctaw County, AL"	"01023"	82	12418	660.3
	"Clarke County, AL"	"01025"	143	23291	614.0
	"Clay County, AL"	"01027"	92	13112	701.6
	"Cleburne County, AL"	"01029"	89	14967	594.6
	"Coffee County, AL"	"01031"	250	53230	469.7
	"Colbert County, AL"	"01033"	326	55411	588.3
	"Conecuh County, AL"	"01035"	82	11851	691.9
	"Coosa County, AL"	"01037"	68	10650	638.5
	"Covington County, AL"	"01039"	260	36930	704.0
	"Crenshaw County, AL"	"01041"	92	13681	672.5
	"Cullman County, AL"	"01043"	482	84515	570.3
	"Dale County, AL"	"01045"	267	48959	545.4
	"Dallas County, AL"	"01047"	198	36098	548.5
	"DeKalb County, AL"	"01049"	359	71658	501.0
	"Elmore County, AL"	"01051"	423	82158	514.9
	"Escambia County, AL"	"01053"	202	36281	556.8
	"Etowah County, AL"	"01055"	726	102371	709.2
	"Fayette County, AL"	"01057"	120	16241	738.9
	"Franklin County, AL"	"01059"	182	31507	577.6
	"Geneva County, AL"	"01061"	170	26411	643.7
	"Greene County, AL"	"01063"	44	7990	550.7
	"Hale County, AL"	"01065"	103	14670	702.1
	"Henry County, AL"	"01067"	102	17223	592.2
	"Houston County, AL"	"01069"	587	106580	550.8
	"Jackson County, AL"	"01071"	354	51582	686.3
	"Jefferson County, AL"	"01073"	2964	655342	452.3
	"Lamar County, AL"	"01075"	111	13764	806.5
	"Lauderdale County, AL"	"01077"	528	93368	565.5
	"Lawrence County, AL"	"01079"	183	32857	557.0
	"Lee County, AL"	"01081"	558	166831	334.5
	"Limestone County, AL"	"01083"	465	102228	454.9
	"Lowndes County, AL"	"01085"	68	9641	705.3
	"Macon County, AL"	"01087"	100	17895	558.8
	"Madison County, AL"	"01089"	1504	379453	396.4
	"Marengo County, AL"	"01091"	108	18733	576.5
	"Marion County, AL"	"01093"	174	29703	585.8
	"Marshall County, AL"	"01095"	502	96990	517.6
	"Mobile County, AL"	"01097"	1945	412716	471.3
	"Monroe County, AL"	"01099"	118	20459	576.8
	"Montgomery County, AL"	"01101"	935	224639	416.2
	"Morgan County, AL"	"01103"	656	119883	547.2
	"Perry County, AL"	"01105"	54	8687	621.6
	"Pickens County, AL"	"01107"	97	19793	490.1
	"Pike County, AL"	"01109"	167	32966	506.6
	"Randolph County, AL"	"01111"	149	22920	650.1
	"Russell County, AL"	"01113"	285	58237	489.4
	"St. Clair County, AL"	"01115"	509	90739	560.9
	"Shelby County, AL"	"01117"	728	221428	328.8
	"Sumter County, AL"	"01119"	65	12225	531.7
	"Talladega County, AL"	"01121"	444	79985	555.1
	"Tallapoosa County, AL"	"01123"	243	40133	605.5
	"Tuscaloosa County, AL"	"01125"	868	210758	411.8
	"Walker County, AL"	"01127"	420	63143	665.2
	"Washington County, AL"	"01129"	103	15976	644.7
	"Wilcox County, AL"	"01131"	71	10206	695.7
	"Winston County, AL"	"01133"	164	23508	697.6
	"Anchorage Borough, AK"	"02020"	796	287095	277.3
	"Bethel Census Area, AK"	"02050"	50	18437	271.2
	"Dillingham Census Area, AK"	"02070"	15	4833	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	202	95651	211.2
	"Juneau Borough, AK"	"02110"	90	31849	282.6
	"Kenai Peninsula Borough, AK"	"02122"	179	59414	301.3
	"Ketchikan Gateway Borough, AK"	"02130"	38	13747	276.4
	"Kodiak Island Borough, AK"	"02150"	29	12992	223.2
	"Matanuska-Susitna Borough, AK"	"02170"	274	110213	248.6
	"Nome Census Area, AK"	"02180"	23	9909	232.1
	"North Slope Borough, AK"	"02185"	23	9294	247.5
	"Northwest Arctic Borough, AK"	"02188"	36	7644	471.0
	"Petersburg Borough/Census Area, AK"	"02195"	13	3296	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	19	6147	Unreliable
	"Sitka Borough, AK"	"02220"	24	8405	285.5
	"Southeast Fairbanks Census Area, AK"	"02240"	18	6957	Unreliable
	"Wade Hampton Census Area, AK"	"02270"	21	8328	252.2
	"Yukon-Koyukuk Census Area, AK"	"02290"	23	5077	453.0
	"Apache County, AZ"	"04001"	387	71875	538.4
	"Cochise County, AZ"	"04003"	682	127450	535.1
	"Coconino County, AZ"	"04005"	397	142481	278.6
	"Gila County, AZ"	"04007"	394	54303	725.6
	"Graham County, AZ"	"04009"	156	39211	397.8
	"Greenlee County, AZ"	"04011"	49	9341	524.6
	"La Paz County, AZ"	"04012"	163	21480	758.8
	"Maricopa County, AZ"	"04013"	16150	4579081	352.7
	"Mohave County, AZ"	"04015"	1629	217206	750.0
	"Navajo County, AZ"	"04017"	669	112112	596.7
	"Pima County, AZ"	"04019"	4834	1061175	455.5
	"Pinal County, AZ"	"04021"	1832	480828	381.0
	"Santa Cruz County, AZ"	"04023"	143	46808	305.5
	"Yavapai County, AZ"	"04025"	1523	240226	634.0
	"Yuma County, AZ"	"04027"	813	217824	373.2
	"Arkansas County, AR"	"05001"	112	17383	644.3
	"Ashley County, AR"	"05003"	138	19339	713.6
	"Baxter County, AR"	"05005"	350	42242	828.6
	"Benton County, AR"	"05007"	921	288774	318.9
	"Boone County, AR"	"05009"	206	37625	547.5
	"Bradley County, AR"	"05011"	52	10639	488.8
	"Calhoun County, AR"	"05013"	28	5113	547.6
	"Carroll County, AR"	"05015"	161	28276	569.4
	"Chicot County, AR"	"05017"	60	9924	604.6
	"Clark County, AR"	"05019"	116	22103	524.8
	"Clay County, AR"	"05021"	87	14375	605.2
	"Cleburne County, AR"	"05023"	177	24935	709.8
	"Cleveland County, AR"	"05025"	44	7957	553.0
	"Columbia County, AR"	"05027"	126	23331	540.1
	"Conway County, AR"	"05029"	124	21037	589.4
	"Craighead County, AR"	"05031"	440	112245	392.0
	"Crawford County, AR"	"05033"	294	63409	463.7
	"Crittenden County, AR"	"05035"	250	47616	525.0
	"Cross County, AR"	"05037"	98	16142	607.1
	"Dallas County, AR"	"05039"	40	6802	588.1
	"Desha County, AR"	"05041"	67	11110	603.1
	"Drew County, AR"	"05043"	90	17977	500.6
	"Faulkner County, AR"	"05045"	507	126919	399.5
	"Franklin County, AR"	"05047"	89	17897	497.3
	"Fulton County, AR"	"05049"	87	12381	702.7
	"Garland County, AR"	"05051"	678	99789	679.4
	"Grant County, AR"	"05053"	103	18449	558.3
	"Greene County, AR"	"05055"	249	45597	546.1
	"Hempstead County, AR"	"05057"	104	21253	489.3
	"Hot Spring County, AR"	"05059"	185	33787	547.5
	"Howard County, AR"	"05061"	82	13109	625.5
	"Independence County, AR"	"05063"	223	37757	590.6
	"Izard County, AR"	"05065"	91	13613	668.5
